"PK","SK","address","agenda","amount","attendee_id","attendee_status","content","created_at","date","description","driver_id","email","entity_type","id_number","is_locked","license_expiry","license_number","location","locked_at","make","meeting_id","meeting_status","model","name","owner_id","paid_at","password_hash","payment_id","phone","reason","recorded_at","reg_number","role","start_time","status","title","updated_at","user_id","year"
"MANUAL_PAYMENT#ff687cca-b58d-4662-a138-819146da8762","DETAILS","","","400","","","","2026-04-28T17:53:09Z","","security","","","MANUAL_PAYMENT","0609876909979","","","","","","","0415091d-f26c-4f3d-9817-8a8a71ff6d92","","","","","2026-04-28T20:29:04Z","","ff687cca-b58d-4662-a138-819146da8762","","custom","","","","","paid","","","",""
"MEETING#e388939d-79e8-4877-be58-ce75733d5a6e","ATTENDANCE#0108285678081","","","","0108285678081","","","","","","","","ATTENDANCE","","","","","","","","e388939d-79e8-4877-be58-ce75733d5a6e","","","","","","","","","","2026-04-27T21:26:10Z","","","","","","","",""
"MEETING#e388939d-79e8-4877-be58-ce75733d5a6e","ATTENDANCE#0108285678087","","","","0108285678087","","","","","","","","ATTENDANCE","","","","","","","","e388939d-79e8-4877-be58-ce75733d5a6e","","","","","","","","","","2026-04-27T21:26:10Z","","","","","","","",""
"MEETING#e388939d-79e8-4877-be58-ce75733d5a6e","ATTENDANCE#0108295678083","","","","0108295678083","","","","","","","","ATTENDANCE","","","","","","","","e388939d-79e8-4877-be58-ce75733d5a6e","","","","","","","","","","2026-04-27T21:26:10Z","","","","","","","",""
"MEETING#e388939d-79e8-4877-be58-ce75733d5a6e","ATTENDANCE#0609876909979","","","","0609876909979","","","","","","","","ATTENDANCE","","","","","","","","e388939d-79e8-4877-be58-ce75733d5a6e","","","","","","","","","","2026-04-27T21:26:10Z","","","","","","","",""
"MEETING#e388939d-79e8-4877-be58-ce75733d5a6e","ATTENDANCE#8501015800083","","","","8501015800083","","","","","","","","ATTENDANCE","","","","","","","","e388939d-79e8-4877-be58-ce75733d5a6e","","","","","","","","","","2026-04-27T21:26:10Z","","","","","","","",""
"MEETING#e388939d-79e8-4877-be58-ce75733d5a6e","ATTENDANCE#sizawfonelana","","","","sizawfonelana","","","","","","","","ATTENDANCE","","","","","","","","e388939d-79e8-4877-be58-ce75733d5a6e","","","","","","","","","","2026-04-27T21:26:10Z","","","","","","","",""
"MEETING#e388939d-79e8-4877-be58-ce75733d5a6e","DETAILS","","Ntombela","","","","","2026-04-27T19:35:18Z","2026-04-27","","","","MEETING","","","","","Ntombela","","","e388939d-79e8-4877-be58-ce75733d5a6e","active","","","","","","","","","","","","21:34","","Membership","","",""
"MANUAL_PAYMENT#79b07b72-82e3-46b8-9d22-21194911f61c","DETAILS","","","200","","","","2026-04-29T18:33:18Z","","Absent from meeting — THE RECIPE (29 Apr 2026)","","","MANUAL_PAYMENT","0108285678083","","","","","","","","","","","","","","79b07b72-82e3-46b8-9d22-21194911f61c","","absent","","","","","outstanding","","","",""
"MANUAL_PAYMENT#97af617a-fffe-4971-8369-d24a9acb6a43","DETAILS","","","50","","","","2026-04-28T20:45:18Z","","Late arrival — OPENHEIMER (28 Apr 2026)","","","MANUAL_PAYMENT","0108285678083","","","","","","","","","","","","","","97af617a-fffe-4971-8369-d24a9acb6a43","","late","","","","","outstanding","","","",""
"MANUAL_PAYMENT#b0e6dfa2-8f3e-4876-a2a7-7fd2a5a73aad","DETAILS","","","400","","","","2026-04-28T17:53:09Z","","security","","","MANUAL_PAYMENT","sizawfonelana","","","","","","","0415091d-f26c-4f3d-9817-8a8a71ff6d92","","","","","2026-04-28T20:34:49Z","","b0e6dfa2-8f3e-4876-a2a7-7fd2a5a73aad","","custom","","","","","paid","","","",""
"MANUAL_PAYMENT#0e737941-45fa-4f25-95de-325025130635","DETAILS","","","200","","","","2026-04-29T18:33:04Z","","Absent from meeting — THE RECIPE (29 Apr 2026)","","","MANUAL_PAYMENT","8501015800083","","","","","","","","","","","","","","0e737941-45fa-4f25-95de-325025130635","","absent","","","","","outstanding","","","",""
"MANUAL_PAYMENT#96e6c9d8-6cb8-4dc7-aab3-a99b44f01f42","DETAILS","","","400","","","","2026-04-28T17:53:09Z","","security","","","MANUAL_PAYMENT","0108285678083","","","","","","","0415091d-f26c-4f3d-9817-8a8a71ff6d92","","","","","","","96e6c9d8-6cb8-4dc7-aab3-a99b44f01f42","","custom","","","","","outstanding","","","",""
"OWNER#fb21739f-21e4-4766-8d62-93f2fb6bd92d","PROFILE","","","","","","","2026-04-20T10:06:33Z","","","","anelemlaba412@gmail.com","OWNER","0108295678083","","","","","","","","","","Cebo Mthalane","fb21739f-21e4-4766-8d62-93f2fb6bd92d","","","","0633386167","","","","","","","","","",""
"MANUAL_PAYMENT#39858279-0e01-4d12-9ef2-a7f0cb179cbe","DETAILS","","","200","","","","2026-04-29T18:33:09Z","","Absent from meeting — THE RECIPE (29 Apr 2026)","","","MANUAL_PAYMENT","8501015800083","","","","","","","","","","","","","","39858279-0e01-4d12-9ef2-a7f0cb179cbe","","absent","","","","","outstanding","","","",""
"MANUAL_PAYMENT#ffd998a1-7a1d-4787-9be7-689530b8ada8","DETAILS","","","400","","","","2026-04-28T17:53:09Z","","security","","","MANUAL_PAYMENT","0108295678083","","","","","","","0415091d-f26c-4f3d-9817-8a8a71ff6d92","","","","","","","ffd998a1-7a1d-4787-9be7-689530b8ada8","","custom","","","","","outstanding","","","",""
"MANUAL_PAYMENT#26f65679-14d5-4260-abec-36d618f6d7dc","DETAILS","","","200","","","","2026-04-29T18:33:12Z","","Absent from meeting — THE RECIPE (29 Apr 2026)","","","MANUAL_PAYMENT","0108285678087","","","","","","","","","","","","","","26f65679-14d5-4260-abec-36d618f6d7dc","","absent","","","","","outstanding","","","",""
"MANUAL_PAYMENT#50490612-eb30-4c28-aa93-a18cd7f29b96","DETAILS","","","400","","","","2026-04-28T17:53:09Z","","security","","","MANUAL_PAYMENT","8501015800085","","","","","","","0415091d-f26c-4f3d-9817-8a8a71ff6d92","","","","","","","50490612-eb30-4c28-aa93-a18cd7f29b96","","custom","","","","","outstanding","","","",""
"MANUAL_PAYMENT#7965f300-6041-4867-b6d7-3899ceb470c1","DETAILS","","","200","","","","2026-04-29T20:52:55Z","","Absent from meeting — OMNI_MAN (29 Apr 2026)","","","MANUAL_PAYMENT","8501015800083","","","","","","","","","","","","","","7965f300-6041-4867-b6d7-3899ceb470c1","","absent","","","","","outstanding","","","",""
"MANUAL_PAYMENT#9b72e0e8-e103-479d-a0ad-222337606aa9","DETAILS","","","200","","","","2026-04-29T18:33:07Z","","Absent from meeting — THE RECIPE (29 Apr 2026)","","","MANUAL_PAYMENT","0108285678081","","","","","","","","","","","","","","9b72e0e8-e103-479d-a0ad-222337606aa9","","absent","","","","","outstanding","","","",""
"USER#0108285678083","PROFILE","","","","","","","2026-04-19T17:24:39Z","","","","","USER","0108285678083","","","","","","","","","","Anele Madonda","","","795bca63f563285e4443a9b55f8d34b729a199bc96696149846abf9ad8a3dca2","","","","","","chairperson","","","","","220a5e8c-e5fa-4b84-a360-96163d8bd656",""
"MANUAL_PAYMENT#10076f66-0525-454e-8dc8-f36db1d18d1b","DETAILS","","","200","","","","2026-04-29T18:33:08Z","","Absent from meeting — THE RECIPE (29 Apr 2026)","","","MANUAL_PAYMENT","8501015800083","","","","","","","","","","","","","","10076f66-0525-454e-8dc8-f36db1d18d1b","","absent","","","","","outstanding","","","",""
"MANUAL_PAYMENT#8f0d9c36-a294-4348-8815-00b358e23c13","DETAILS","","","400","","","","2026-04-28T17:53:09Z","","security","","","MANUAL_PAYMENT","8501015800083","","","","","","","0415091d-f26c-4f3d-9817-8a8a71ff6d92","","","","","","","8f0d9c36-a294-4348-8815-00b358e23c13","","custom","","","","","outstanding","","","",""
"MANUAL_PAYMENT#33e1b2c6-8581-424f-af32-525ec3d51431","DETAILS","","","200","","","","2026-04-29T18:33:06Z","","Absent from meeting — THE RECIPE (29 Apr 2026)","","","MANUAL_PAYMENT","0108285678081","","","","","","","","","","","","","","33e1b2c6-8581-424f-af32-525ec3d51431","","absent","","","","","outstanding","","","",""
"MANUAL_PAYMENT#8bbe25e8-ada9-4723-89a7-fef8b3430f3f","DETAILS","","","200","","","","2026-04-29T18:33:13Z","","Absent from meeting — THE RECIPE (29 Apr 2026)","","","MANUAL_PAYMENT","sizawfonelana","","","","","","","","","","","","","","8bbe25e8-ada9-4723-89a7-fef8b3430f3f","","absent","","","","","outstanding","","","",""
"MANUAL_PAYMENT#a788f9fb-bcbc-4b81-8ab3-6b2c6071c8de","DETAILS","","","200","","","","2026-04-29T18:45:42Z","","Absent from meeting — THE RECIPE (29 Apr 2026)","","","MANUAL_PAYMENT","0108285678081","","","","","","","","","","","","","","a788f9fb-bcbc-4b81-8ab3-6b2c6071c8de","","absent","","","","","outstanding","","","",""
"DRIVER#35be6f43-5823-4c65-b3bf-a6c51ec4f778","PROFILE","","","","","","","2026-04-20T18:16:17Z","","","35be6f43-5823-4c65-b3bf-a6c51ec4f778","","DRIVER","0108285678083","","2026-03-11","PDP123","","","","","","","AneLe Madonda","","","","","0633386167","","","","","","","","2026-04-20T18:17:28Z","",""
"USER#user@example.com","PROFILE","","","","","","","2026-04-18T14:27:23Z","","","","user@example.com","","","","","","","","","","","","John Doe","","","yourPassword123","","","","","","user","","","","","72fecdf7-1ba0-4c93-8875-073e6fc2b10d",""
"MEETING#75fd4f54-0792-409f-a176-c1ac14f6512f","ATTENDANCE#0108285678087","","","","0108285678087","","","","","","","","ATTENDANCE","","1","","","","2026-04-22T18:52:20Z","","75fd4f54-0792-409f-a176-c1ac14f6512f","","","","","","","","","","2026-04-22T18:52:20Z","","","","","","","",""
"MEETING#75fd4f54-0792-409f-a176-c1ac14f6512f","ATTENDANCE#0108295678083","","","","0108295678083","","","","","","","","ATTENDANCE","","","","","","","","75fd4f54-0792-409f-a176-c1ac14f6512f","","","","","","","","","","2026-04-22T18:52:20Z","","","","","","","",""
"MEETING#75fd4f54-0792-409f-a176-c1ac14f6512f","ATTENDANCE#0609876909979","","","","0609876909979","","","","","","","","ATTENDANCE","","","","","","","","75fd4f54-0792-409f-a176-c1ac14f6512f","","","","","","","","","","2026-04-22T18:52:20Z","","","","","","","",""
"MEETING#75fd4f54-0792-409f-a176-c1ac14f6512f","ATTENDANCE#8501015800083","","","","8501015800083","","","","","","","","ATTENDANCE","","","","","","","","75fd4f54-0792-409f-a176-c1ac14f6512f","","","","","","","","","","2026-04-22T18:52:20Z","","","","","","","",""
