"PK","SK","address","agenda","amount","attendee_id","attendee_status","created_at","date","driver_id","email","entity_type","id_number","item_name","license_expiry","license_number","location","make","meeting_id","meeting_status","model","name","owner_id","password_hash","payment_id","phone","recorded_at","reg_number","role","start_time","status","title","updated_at","user_id","year"
"OWNER#551717d5-fdab-4d78-b244-996fd27089b7","PROFILE","1234 Meridian","","","","","2026-04-20T11:07:39Z","","","anelemlaba45@gmail.com","OWNER","0108285678081","","","","","","","","","Mbo Ngeni","551717d5-fdab-4d78-b244-996fd27089b7","","","0765678392","","","","","","","","",""
"VEHICLE#CA123GP","DETAILS","","","","","","2025-01-10T08:10:00Z","","driver-001","","VEHICLE","","","","","","Toyota","","","Quantum","","owner-001","","","","","CA123GP","","","","","","","2022"
"OWNER#owner-001","PROFILE","""12 Main Road, Soweto, 1804""","","","","","2025-01-10T08:00:00Z","","","thabo.nkosi@example.com","OWNER","8501015800083","","","","","","","","","Thabo Nkosi","owner-001","","","'+27821234567","","","","","","","","",""
"MEETING#1bbfa976-b549-41e6-b089-2b00825d223d","ATTENDANCE#0108295678083","","","","0108295678083","","","","","","ATTENDANCE","","","","","","","1bbfa976-b549-41e6-b089-2b00825d223d","","","","","","","","2026-04-21T11:32:26Z","","","","","","","",""
"MEETING#1bbfa976-b549-41e6-b089-2b00825d223d","DETAILS","","Items","","","","2026-04-21T11:32:10Z","2026-04-21","","","MEETING","","","","","kwaNtombela","","1bbfa976-b549-41e6-b089-2b00825d223d","inactive","","","","","","","","","","13:31","","Ukuvuselela","2026-04-27T19:34:46Z","",""
"MEETING#0f9dfddc-f4c7-4f67-95f7-f682a60a81c4","ATTENDANCE#sizawfonelana","","","","sizawfonelana","present","","","","","ATTENDANCE","","","","","","","0f9dfddc-f4c7-4f67-95f7-f682a60a81c8","","","","","","","","2026-04-22T19:25:35Z","","","","","","","",""
"OWNER#7ac9fbcf-ad5e-433d-b991-9d3ccb59bc4f","PROFILE","100740 Gezubuso Location","","","","","2026-04-20T10:24:19Z","","","anelemlaba413@gmail.com","OWNER","0108285678087","","","","","","","","","Nhlalo Madonda","7ac9fbcf-ad5e-433d-b991-9d3ccb59bc4f","","","0633386166","","","","","","","","",""
"MEETING#c8aa03b0-c3dd-404e-ba0e-d675e570fc13","ATTENDANCE#11a34c4c-0b63-409b-87bf-8d6f2913678d","","","","11a34c4c-0b63-409b-87bf-8d6f2913678d","","","","","","ATTENDANCE","","","","","","","c8aa03b0-c3dd-404e-ba0e-d675e570fc13","","","","","","","","2026-04-20T18:44:02Z","","","","","","","",""
"MEETING#c8aa03b0-c3dd-404e-ba0e-d675e570fc13","ATTENDANCE#551717d5-fdab-4d78-b244-996fd27089b7","","","","551717d5-fdab-4d78-b244-996fd27089b7","","","","","","ATTENDANCE","","","","","","","c8aa03b0-c3dd-404e-ba0e-d675e570fc13","","","","","","","","2026-04-20T18:44:02Z","","","","","","","",""
"MEETING#c8aa03b0-c3dd-404e-ba0e-d675e570fc13","ATTENDANCE#7ac9fbcf-ad5e-433d-b991-9d3ccb59bc4f","","","","7ac9fbcf-ad5e-433d-b991-9d3ccb59bc4f","","","","","","ATTENDANCE","","","","","","","c8aa03b0-c3dd-404e-ba0e-d675e570fc13","","","","","","","","2026-04-20T18:44:02Z","","","","","","","",""
"MEETING#c8aa03b0-c3dd-404e-ba0e-d675e570fc13","ATTENDANCE#face8a2c-1802-44c8-8c18-5491e45a15e7","","","","face8a2c-1802-44c8-8c18-5491e45a15e7","","","","","","ATTENDANCE","","","","","","","c8aa03b0-c3dd-404e-ba0e-d675e570fc13","","","","","","","","2026-04-20T18:44:02Z","","","","","","","",""
"MEETING#c8aa03b0-c3dd-404e-ba0e-d675e570fc13","ATTENDANCE#fb21739f-21e4-4766-8d62-93f2fb6bd92d","","","","fb21739f-21e4-4766-8d62-93f2fb6bd92d","","","","","","ATTENDANCE","","","","","","","c8aa03b0-c3dd-404e-ba0e-d675e570fc13","","","","","","","","2026-04-20T18:44:02Z","","","","","","","",""
"MEETING#c8aa03b0-c3dd-404e-ba0e-d675e570fc13","ATTENDANCE#owner-001","","","","owner-001","","","","","","ATTENDANCE","","","","","","","c8aa03b0-c3dd-404e-ba0e-d675e570fc13","","","","","","","","2026-04-20T18:44:02Z","","","","","","","",""
"MEETING#c8aa03b0-c3dd-404e-ba0e-d675e570fc13","ATTENDANCE#owner-002","","","","owner-002","","","","","","ATTENDANCE","","","","","","","c8aa03b0-c3dd-404e-ba0e-d675e570fc13","","","","","","","","2026-04-20T18:44:02Z","","","","","","","",""
"MEETING#c8aa03b0-c3dd-404e-ba0e-d675e570fc13","DETAILS","","","","","","2026-04-20T18:42:26Z","2026-04-20","","","MEETING","","","","","ehholo KwaNtombela","","c8aa03b0-c3dd-404e-ba0e-d675e570fc13","inactive","","","","","","","","","","23:38","","Ukuvuselela iMembership","2026-04-21T10:38:04Z","",""
"OWNER#owner-002","PROFILE","""12 Main Road, Soweto, 1804""","","","","","2025-01-10T08:00:00Z","","","thabo.nkosi@example.com","OWNER","8501015800085","","","","","","","","","Thabo Nkosi","owner-001","","","'+27821234567","","","","","","","","",""
"MEETING#510de9e9-c8f6-4a58-98a3-b8556f6f14e1","DETAILS","","","","","","2026-04-20T21:15:38Z","2026-04-20","","","MEETING","","","","","Ntombela","","510de9e9-c8f6-4a58-98a3-b8556f6f14e1","","","","","","","","","","","","","RE","","",""
"MEETING#54f30168-4f7f-4b20-8af8-dac6266dedaa","ATTENDANCE#0108295678083","","","","0108295678083","","","","","","ATTENDANCE","","","","","","","54f30168-4f7f-4b20-8af8-dac6266dedaa","","","","","","","","2026-04-22T19:23:54Z","","","","","","","",""
"MEETING#54f30168-4f7f-4b20-8af8-dac6266dedaa","DETAILS","","f","","","","2026-04-22T19:23:26Z","2026-04-22","","","MEETING","","","","","f","","54f30168-4f7f-4b20-8af8-dac6266dedaa","inactive","","","","","","","","","","21:23","","f","2026-04-27T19:34:37Z","",""
"USER#8501015800083","PROFILE","","","","","","2026-04-19T15:30:06Z","","","","USER","8501015800083","","","","","","","","","John Doe","","935d01c0b8bf820e276f0a8cb73d7c78526f6a130398e41c0d2a54390534148a","","","","","chairperson","","","","","d5af1ae2-c905-4132-9b47-5d12f92f2133",""
"MEETING#meeting-001","ATTENDANCE#owner-001","","","","owner-001","","","","","","","","","","","","","meeting-001","","","","","","","","2025-02-01T09:05:00Z","","","","","","","",""
"MEETING#meeting-001","DETAILS","","""Route updates, safety compliance, fee structure review""","","","","2025-01-15T10:00:00Z","2025-02-01T09:00:00Z","","","MEETING","","","","","""Zimeleni Office, 5 Transport Ave, Johannesburg""","","meeting-001","","","","","","","","","","","","","Q1 Owner Briefing","","",""
"USER#0108285678081","PROFILE","","","","","","2026-04-20T11:09:12Z","","","","USER","0108285678081","","","","","","","","","Mbo Ngeni","","795bca63f563285e4443a9b55f8d34b729a199bc96696149846abf9ad8a3dca2","","","","","owner","","","","","f3599c61-d783-4fac-bfff-ef3a8f72e66f",""
"VEHICLE#BD 23 5 ZN","DETAILS","","","","","","2026-04-20T18:02:32Z","","","","VEHICLE","","","","","","Hyndai","","","i10","","551717d5-fdab-4d78-b244-996fd27089b7","","","","","BD 23 5 ZN","","","","","","","2019"
"MEETING#292f387e-3685-45e4-a8b6-17377b557a22","ATTENDANCE#0108285678081","","","","0108285678081","","","","","","ATTENDANCE","","","","","","","292f387e-3685-45e4-a8b6-17377b557a22","","","","","","","","2026-04-20T21:01:26Z","","","","","","","",""
"MEETING#292f387e-3685-45e4-a8b6-17377b557a22","ATTENDANCE#0108285678083","","","","0108285678083","","","","","","ATTENDANCE","","","","","","","292f387e-3685-45e4-a8b6-17377b557a22","","","","","","","","2026-04-20T21:01:26Z","","","","","","","",""
